work,tlg,book,n,text,text_clean,source
The Taking of Ilios,tlg001,1,93,ἡ δʼ ἵνα λυομένη τε καὶ ἔμπεδον εἰς ἓν ἰοῦσα,ἡ δ’ ἵνα λυομένη τε καὶ ἔμπεδον εἰς ἓν ἰοῦσα,tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,94,εἴη σφιν καθύπερθεν ὁδὸς καὶ νέρθεν ὀροῦσαι.,εἴη σφιν καθύπερθεν ὁδὸς καὶ νέρθεν ὀροῦσαι.,tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,95,ἀμφὶ δέ μιν λευκοῖο κατʼ αὐχένος ἠδὲ γενείων,ἀμφὶ δέ μιν λευκοῖο κατ’ αὐχένος ἠδὲ γενείων,tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,96,ἄνθεσι πορφυρέοισι πέριξ ἔζωσεν ἱμάντων,ἄνθεσι πορφυρέοισι πέριξ ἔζωσεν ἱμάντων,tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,97,καὶ σκολιῇς ἑλίκεσσιν ἀναγκαίοιο χαλινοῦ,καὶ σκολιῇς ἑλίκεσσιν ἀναγκαίοιο χαλινοῦ,tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,98,κολλήσας ἐλέφαντι καὶ ἀργυροδίνεϊ χαλκῷ.,κολλήσας ἐλέφαντι καὶ ἀργυροδίνεϊ χαλκῷ.,tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,99,"αὐτὰρ ἐπειδὴ πάντα κάμεν μενεδήιον ἵππον,","αὐτὰρ ἐπειδὴ πάντα κάμεν μενεδήιον ἵππον,",tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,100,κύκλον ἐυκνήμιδα ποδῶν ὑπέθηκεν ἑκάστῳ,κύκλον ἐυκνήμιδα ποδῶν ὑπέθηκεν ἑκάστῳ,tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,101,ἑλκόμενος πεδίοισιν ὅπως πειθήνιος εἴη,ἑλκόμενος πεδίοισιν ὅπως πειθήνιος εἴη,tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,102,μηδὲ βιαζομένοισι δυσέμβατον οἶμον ὁδεύῃ.,μηδὲ βιαζομένοισι δυσέμβατον οἶμον ὁδεύῃ.,tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,103,ὣς ὁ μὲν ἐξήστραπτε φόβῳ καὶ κάλλεϊ πολλῷ,ὣς ὁ μὲν ἐξήστραπτε φόβῳ καὶ κάλλεϊ πολλῷ,tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,104,"εὐρύς θʼ ὑψηλός τε· τὸν οὐδέ κεν ἀρνήσαιτο,","εὐρύς θ’ ὑψηλός τε· τὸν οὐδέ κεν ἀρνήσαιτο,",tlg0647.tlg001.perseus-grc2.xml
