work,tlg,book,n,text,text_clean,source
Europa,tlg002,1,33,αἳ δέ οἱ αἶψα φάανθεν· ἔχον δ’ ἐν χερσὶν ἑκάστη,αἳ δέ οἱ αἶψα φάανθεν· ἔχον δ’ ἐν χερσὶν ἑκάστη,tlg0035.tlg002.perseus-grc2.xml
Europa,tlg002,1,34,ἀνθοδόκον τάλαρον· ποτὶ δὲ λειμῶνας ἔβαινον,ἀνθοδόκον τάλαρον· ποτὶ δὲ λειμῶνας ἔβαινον,tlg0035.tlg002.perseus-grc2.xml
Europa,tlg002,1,35,"ἀγχιάλους, ὅθι τ’ αἰὲν ὁμιλαδὸν ἠγερέθοντο","ἀγχιάλους, ὅθι τ’ αἰὲν ὁμιλαδὸν ἠγερέθοντο",tlg0035.tlg002.perseus-grc2.xml
Europa,tlg002,1,36,τερπόμεναι ῥοδέῃ τε φυῇ καὶ κύματος ἠχῇ.,τερπόμεναι ῥοδέῃ τε φυῇ καὶ κύματος ἠχῇ.,tlg0035.tlg002.perseus-grc2.xml
Europa,tlg002,1,37,"αὐτὴ δὲ χρύσεον τάλαρον φέρεν Εὐρώπεια,","αὐτὴ δὲ χρύσεον τάλαρον φέρεν Εὐρώπεια,",tlg0035.tlg002.perseus-grc2.xml
Europa,tlg002,1,38,"θηητόν, μέγα θαῦμα, μέγαν πόνον Ἡφαίστοιο,","θηητόν, μέγα θαῦμα, μέγαν πόνον Ἡφαίστοιο,",tlg0035.tlg002.perseus-grc2.xml
Europa,tlg002,1,39,"ὃν Λιβύῃ πόρε δῶρον, ὅτ’ ἐς λέχος Ἐννοσιγαίου","ὃν Λιβύῃ πόρε δῶρον, ὅτ’ ἐς λέχος Ἐννοσιγαίου",tlg0035.tlg002.perseus-grc2.xml
Europa,tlg002,1,40,"ἤϊεν· ἣ δὲ πόρεν περικαλλέϊ Τηλεφαάσσῃ,","ἤϊεν· ἣ δὲ πόρεν περικαλλέϊ Τηλεφαάσσῃ,",tlg0035.tlg002.perseus-grc2.xml
Europa,tlg002,1,41,ἥτε οἱ αἵματος ἔσκεν· ἀνύμφῳ δ’ Εὐρωπείῃ,ἥτε οἱ αἵματος ἔσκεν· ἀνύμφῳ δ’ Εὐρωπείῃ,tlg0035.tlg002.perseus-grc2.xml
Europa,tlg002,1,42,μήτηρ Τηλεφάσσα περικλυτὸν ὤπασε δῶρον.,μήτηρ Τηλεφάσσα περικλυτὸν ὤπασε δῶρον.,tlg0035.tlg002.perseus-grc2.xml
Europa,tlg002,1,43,ἐν τῷ δαίδαλα πολλὰ τετεύχατο μαρμαίροντα.,ἐν τῷ δαίδαλα πολλὰ τετεύχατο μαρμαίροντα.,tlg0035.tlg002.perseus-grc2.xml
Europa,tlg002,1,44,"ἐν μὲν ἔην χρυσοῖο τετυγμένη Ἰναχὶς Ἰώ,","ἐν μὲν ἔην χρυσοῖο τετυγμένη Ἰναχὶς Ἰώ,",tlg0035.tlg002.perseus-grc2.xml
Europa,tlg002,1,45,"εἰσέτι πόρτις ἐοῦσα, φυὴν δ’ οὐκ εἶχε γυναίην.","εἰσέτι πόρτις ἐοῦσα, φυὴν δ’ οὐκ εἶχε γυναίην.",tlg0035.tlg002.perseus-grc2.xml
