work,tlg,book,n,text,text_clean,source
The Rape of Helen,tlg001,1,37,"ἐς δόμον Ἡφαίστοιο σιδήρεος ἔρχεται Ἄρης,","ἐς δόμον Ἡφαίστοιο σιδήρεος ἔρχεται Ἄρης,",tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,38,"τοῖος ἄτερ θώρηκος, ἄτερ θηκτοῖο σιδήρου","τοῖος ἄτερ θώρηκος, ἄτερ θηκτοῖο σιδήρου",tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,39,μειδιόων ἐχόρευεν. ἔριν δʼ ἀγέραστον ἐάσας,μειδιόων ἐχόρευεν. ἔριν δ’ ἀγέραστον ἐάσας,tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,40,οὐ Χείρων ἀλέγιζε καὶ οὐκ ἐμπάζετο Πηλεύς.,οὐ Χείρων ἀλέγιζε καὶ οὐκ ἐμπάζετο Πηλεύς.,tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,41,ἡ δʼ ἅτε βησσήεντος ἀποπλαγχθεῖσα νομοῖο,ἡ δ’ ἅτε βησσήεντος ἀποπλαγχθεῖσα νομοῖο,tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,42,πόρτις ἐρημαίῃσιν ἐνὶ ξυλόχοισιν ἀλᾶται,πόρτις ἐρημαίῃσιν ἐνὶ ξυλόχοισιν ἀλᾶται,tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,43,"φοινήεντι μύωπι, βοῶν ἐλατῆρι, τυπεῖσα·","φοινήεντι μύωπι, βοῶν ἐλατῆρι, τυπεῖσα·",tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,44,τοῖα βαρυζήλοισιν Ἔρις πληγῇσι δαμεῖσα,τοῖα βαρυζήλοισιν Ἔρις πληγῇσι δαμεῖσα,tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,45,"πλάζετο μαστεύουσα, θεῶν πῶς δαῖτας ὀρίνοι.","πλάζετο μαστεύουσα, θεῶν πῶς δαῖτας ὀρίνοι.",tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,46,πολλάκι δʼ εὐλάιγγος ἀπὸ κλισμοῖο θοροῦσα,πολλάκι δ’ εὐλάιγγος ἀπὸ κλισμοῖο θοροῦσα,tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,47,ἵστατο καὶ παλίνορσος ἐφέζετο· χειρὶ δὲ γαίης,ἵστατο καὶ παλίνορσος ἐφέζετο· χειρὶ δὲ γαίης,tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,48,οὔδεϊ κόλπον ἄραξε καὶ οὐκ ἐφράσσατο πέρην·,οὔδεϊ κόλπον ἄραξε καὶ οὐκ ἐφράσσατο πέρην·,tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,49,"ἤθελεν ὀρφναίων γυάλων κληῖδας ἀνεῖσα,","ἤθελεν ὀρφναίων γυάλων κληῖδας ἀνεῖσα,",tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,50,ἐκ χθονίων Τιτῆνας ἀναστήσασα βερέθρων,ἐκ χθονίων Τιτῆνας ἀναστήσασα βερέθρων,tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,51,οὐρανὸν ὑψιμέδοντος ἀιστῶσαι Διὸς ἕδρην.,οὐρανὸν ὑψιμέδοντος ἀιστῶσαι Διὸς ἕδρην.,tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,52,"ἤθελεν ἠχήεντα πυρὸς πρηστῆρα τινάσσειν,","ἤθελεν ἠχήεντα πυρὸς πρηστῆρα τινάσσειν,",tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,53,"Ἡφαίστῳ δʼ ὑπόεικεν ἀμαιμακέτη περ ἐοῦσα,","Ἡφαίστῳ δ’ ὑπόεικεν ἀμαιμακέτη περ ἐοῦσα,",tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,54,καὶ πυρὸς ἀσβέστοιο καὶ ὀπτευτῆρι σιδήρου.,καὶ πυρὸς ἀσβέστοιο καὶ ὀπτευτῆρι σιδήρου.,tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,55,"καὶ σακέων βαρύδουπον ἐμήσατο κόμπον ἀράσσειν,","καὶ σακέων βαρύδουπον ἐμήσατο κόμπον ἀράσσειν,",tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,56,εἴ ποτε δειμαίνοντες ἀναθρῴσκοιεν ἰωήν·,εἴ ποτε δειμαίνοντες ἀναθρῴσκοιεν ἰωήν·,tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,57,ἀλλά καὶ ὁπλοτέρης δολίης ἀνεχάσσατο βουλῆς,ἀλλά καὶ ὁπλοτέρης δολίης ἀνεχάσσατο βουλῆς,tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,58,"Ἄρεα δειμαίνουσα, σιδήρεον ἀσπιδιώτην.","Ἄρεα δειμαίνουσα, σιδήρεον ἀσπιδιώτην.",tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,59,ἤδη δʼ Ἑσπερίδων χρυσέων ἐμνήσατο μήλων·,ἤδη δ’ Ἑσπερίδων χρυσέων ἐμνήσατο μήλων·,tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,60,"ἔνθεν Ἔρις, πολέμοιο προάγγελον ἔρνος ἑλοῦσα","ἔνθεν Ἔρις, πολέμοιο προάγγελον ἔρνος ἑλοῦσα",tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,61,"μῆλον, ἀριζήλων ἐφράσσατο δήνεα μόχθων.","μῆλον, ἀριζήλων ἐφράσσατο δήνεα μόχθων.",tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,62,χειρὶ δὲ δινήσασα μόθου πρωτόσπορον ἀρχὴν,χειρὶ δὲ δινήσασα μόθου πρωτόσπορον ἀρχὴν,tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,63,"ἐς θαλίην ἔρριψε, χορὸν δʼ ὤρινε θεάων.","ἐς θαλίην ἔρριψε, χορὸν δ’ ὤρινε θεάων.",tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,64,Ἥρη μὲν παράκοιτις ἀγαλλομένη Διὸς εὐνῇ,Ἥρη μὲν παράκοιτις ἀγαλλομένη Διὸς εὐνῇ,tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,65,ἵστατο θαμβήσασα καὶ ἤθελε ληίζεσθαι·,ἵστατο θαμβήσασα καὶ ἤθελε ληίζεσθαι·,tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,66,πασάων δʼ ἅτε Κύπρις ἀρειοτέρη γεγαυῖα,πασάων δ’ ἅτε Κύπρις ἀρειοτέρη γεγαυῖα,tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,67,"μῆλον ἔχειν ἐπόθησεν, ὅτι κτέρας ἐστὶν Ἐρώτων·","μῆλον ἔχειν ἐπόθησεν, ὅτι κτέρας ἐστὶν Ἐρώτων·",tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,68,Ἥρη δʼ οὐ μεθέηκε καὶ οὐχ ὑπόεικεν Ἀθήνη.,Ἥρη δ’ οὐ μεθέηκε καὶ οὐχ ὑπόεικεν Ἀθήνη.,tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,69,Ζεὺς δὲ θεῶν καὶ νεῖκος ἰδὼν καὶ παῖδα καλέσσας,Ζεὺς δὲ θεῶν καὶ νεῖκος ἰδὼν καὶ παῖδα καλέσσας,tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,70,τοῖον ὑφεδρήσσοντα προσέννεπεν Ἑρμάωνα·,τοῖον ὑφεδρήσσοντα προσέννεπεν Ἑρμάωνα·,tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,71,εἴ τινά που Ξάνθοιο παρʼ Ἰδαίοιο ῥεέθροις,εἴ τινά που Ξάνθοιο παρ’ Ἰδαίοιο ῥεέθροις,tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,72,"παῖδα Πάριν Πριάμοιο, τὸν ἀγλαὸν ἡβητῆρα,","παῖδα Πάριν Πριάμοιο, τὸν ἀγλαὸν ἡβητῆρα,",tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,73,"Τροίης βουκολέοντα κατʼ οὔρεα, τέκνον, ἀκούεις,","Τροίης βουκολέοντα κατ’ οὔρεα, τέκνον, ἀκούεις,",tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,74,κείνῳ μῆλον ὄπαζε· διακρίνειν δὲ θεάων,κείνῳ μῆλον ὄπαζε· διακρίνειν δὲ θεάων,tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,75,κέκλεο καὶ βλεφάρων ξυνοχὴν καὶ κύκλα προσώπων.,κέκλεο καὶ βλεφάρων ξυνοχὴν καὶ κύκλα προσώπων.,tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,76,ἡ δὲ διακρινθεῖσα φέρειν περίπυστον ὀπώρην,ἡ δὲ διακρινθεῖσα φέρειν περίπυστον ὀπώρην,tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,77,κάρτος ἀρειοτέρης ἐχέτω καὶ κόσμον Ἐρώτων.,κάρτος ἀρειοτέρης ἐχέτω καὶ κόσμον Ἐρώτων.,tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,78,ὣς ὁ μὲν Ἑρμάωνι πατὴρ ἐπέτελλε Κρονίων·,ὣς ὁ μὲν Ἑρμάωνι πατὴρ ἐπέτελλε Κρονίων·,tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,79,αὐτὰρ ὁ πατρῴῃσιν ἐφημοσύνῃσι πιθήσας,αὐτὰρ ὁ πατρῴῃσιν ἐφημοσύνῃσι πιθήσας,tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,80,εἰς ὁδὸν ἡγεμόνευε καὶ οὐκ ἀμέλησε θεάων.,εἰς ὁδὸν ἡγεμόνευε καὶ οὐκ ἀμέλησε θεάων.,tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,81,πᾶσα δὲ λωιτέρην καὶ ἀμείνονα δίζετο μορφήν.,πᾶσα δὲ λωιτέρην καὶ ἀμείνονα δίζετο μορφήν.,tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,82,Κύπρις μὲν δολόμητις ἀναπτύξασα καλύπτρην,Κύπρις μὲν δολόμητις ἀναπτύξασα καλύπτρην,tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,83,λαὶ περόνην θυόεντα διαστήσασα κομάων,λαὶ περόνην θυόεντα διαστήσασα κομάων,tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,84,"χρυσῷ μὲν πλοκάμους, χρυσῷ δʼ ἐστέψατο χαίτην.","χρυσῷ μὲν πλοκάμους, χρυσῷ δ’ ἐστέψατο χαίτην.",tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,85,τοῖα δὲ παῖδας Ἔρωτας ἀνηΰτησεν ἰδοῦσα·,τοῖα δὲ παῖδας Ἔρωτας ἀνηΰτησεν ἰδοῦσα·,tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,86,"ἐγγὺς ἀγών, φίλα τέκνα· περιπτύξασθε τιθήνην.","ἐγγὺς ἀγών, φίλα τέκνα· περιπτύξασθε τιθήνην.",tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,87,σήμερον ἀγλαΐαι με διακρίνουσι προσώπων·,σήμερον ἀγλαΐαι με διακρίνουσι προσώπων·,tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,88,"δειμαίνω, τίνι μῆλον ὁ βουκόλος οὗτος ὀπάσσει.","δειμαίνω, τίνι μῆλον ὁ βουκόλος οὗτος ὀπάσσει.",tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,89,"Ἥρην μὲν Χαρίτων ἱερὴν ἐνέπουσι τιθήνην,","Ἥρην μὲν Χαρίτων ἱερὴν ἐνέπουσι τιθήνην,",tlg4081.tlg001.perseus-grc2.xml
